Game ID,Game Rank,Game Name,Platform,Game Year,Genre,Publisher
201,201,Super Mario Bros.,GB,1999,Platform,Nintendo
202,202,Resident Evil,PS,1996,Action,Virgin Interactive
203,203,Tony Hawk's Pro Skater,PS,1999,Sports,Activision
204,204,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo
205,205,Warzone 2100,PS,1999,Strategy,Eidos Interactive
206,206,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment
207,207,Link's Crossbow Training,Wii,2007,Shooter,Nintendo
208,208,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision
209,209,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks
210,210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo
211,211,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment
212,212,Madden NFL 06,PS2,2005,Sports,Electronic Arts
213,213,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts
214,214,Diddy Kong Racing,N64,1997,Racing,Nintendo
215,215,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom
216,216,Dr. Mario,NES,1990,Puzzle,Nintendo
217,217,God of War III,PS3,2010,Action,Sony Computer Entertainment
218,218,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision
219,219,Assassin's Creed,PS3,2007,Adventure,Ubisoft
220,220,FIFA 15,PS3,2014,Sports,Electronic Arts
221,221,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment
222,222,FIFA 17,PS4,2016,Sports,Electronic Arts
223,223,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment
224,224,Driver 2,PS,2000,Action,Atari
225,225,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games
226,226,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision
227,227,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo
